Schema_Name,Table_Name,Column_Name,Data_Type,Character_Maximum_Length,Is_Nullable
dbo,Athletes,PersonName,varchar,8000,YES
dbo,Athletes,Country,varchar,8000,YES
dbo,Athletes,Discipline,varchar,8000,YES
dbo,Coaches,Name,varchar,8000,YES
dbo,Coaches,Country,varchar,8000,YES
dbo,Coaches,Discipline,varchar,8000,YES
dbo,Coaches,Event,varchar,8000,YES
dbo,EntriesGender,Discipline,varchar,8000,YES
dbo,EntriesGender,Female,bigint,8,YES
dbo,EntriesGender,Male,bigint,8,YES
dbo,EntriesGender,Total,bigint,8,YES
dbo,Medals,Rank,bigint,8,YES
dbo,Medals,TeamCountry,varchar,8000,YES
dbo,Medals,Gold,bigint,8,YES
dbo,Medals,Silver,bigint,8,YES
dbo,Medals,Bronze,bigint,8,YES
dbo,Medals,Total,bigint,8,YES
dbo,Medals,Rank_by_Total,bigint,8,YES
dbo,Teams,TeamName,varchar,8000,YES
dbo,Teams,Discipline,varchar,8000,YES
dbo,Teams,Country,varchar,8000,YES
dbo,Teams,Event,varchar,8000,YES
